post_id,post_text,time,comments,shares,reactions,reaction_count,thích,thương thương,yêu thích,haha,buồn,wow,phẫn nộ
639877268357319,"VPrime 3x3 - DAY 1 🏆🏀🎵

Ballers đã sẵn sàng cho màn chào sân của các đội tại VPrime 3x3 chưa nào? Cuối tuần chắc chắn chúng ta sẽ cùng bóng rổ và sự kiện âm nhạc GENfest.

#VBA #GENfest",2023-11-04 08:59:55,5,1,"{'thích': 52, 'yêu thích': 9, 'thương thương': 1}",62,52,1,9,0,0,0,0
639391268405919,"1 DAY LEFT
Ballers đã có vé chưa!?

#VBA #GENfest",2023-11-03 11:14:47,4,0,"{'thích': 20, 'yêu thích': 1}",21,20,0,1,0,0,0,0
638971818447864,"VPRIME 3x3 CUP l LỊCH THI ĐẤU - SCHEDULE 🏆🏀🎧

Lịch hẹn đã lên, các ballers của chúng ta đã lên vé hay chưa! Sẵn sàng ""cháy"" cùng thể thức 3x3 đầy hấp dẫn tại lễ hội âm nhạc đa giác quan GENfest nào!

Cùng đếm ngược 2 ngày chúng ta gặp lại nhau.

#VBA #GENfest",2023-11-02 20:00:14,1,9,"{'thích': 40, 'yêu thích': 12, 'thương thương': 1}",53,40,1,12,0,0,0,0
639014191776960,"VPrime 3x3 Cup & GENfest 2 NGÀY ĐẾM NGƯỢC!!!

Ballers đã biết cách chọn vé để đi cùng ""crush"" đến lễ hội âm nhạc có sự kết hợp bóng rổ đang được ngóng chờ nhất những ngày qua chưa?!

#VBA #GENfest",2023-11-02 18:33:43,1,0,"{'thích': 9, 'yêu thích': 1}",10,9,0,1,0,0,0,0
638468395164873,"VPrime 3x3 - FULL ROSTERS 🏆🏀🎧

Danh sách cầu thủ 8 đội bóng tranh tài tại 𝐕𝐏𝐑𝐈𝐌𝐄 𝟑𝐱𝟑 - CÚP GIAO HỮU BÓNG RỔ 3 ĐẤU 3 VPRIME. Nhanh tay mua vé và ""cháy"" hết mình cùng sự kết hợp đầu tiên giữa bóng rổ và âm nhạc VBA x GENfest.

Cùng đếm ngược 3 ngày chúng ta gặp lại nhau nào. Let's go!!!!

#VBA #GENfest",2023-11-02 10:00:27,3,22,"{'thích': 134, 'yêu thích': 34, 'thương thương': 2}",170,134,2,34,0,0,0,0
638529285158784,"🔥🏀 Cùng All-star Ball Out truy tìm những cầu thủ sẽ xuất hiện trong trận đấu sắp tới đây!

🔥 3 bạn có câu trả lời nhanh, chính xác và đầy đủ nhất sẽ nhận được ngay 1 SET QUÀ ĐỘC QUYỀN của All-star Ball Out.

CáchXem thêm thức tham gia: Like và share bài post dưới dạng công khai, comment câu trả lời phía dưới phần bình luận.

🤘 Hãy comment đáp án của bạn về những cái tên “thân quen” mà bạn nhìn thấy trong phần ô chữ này nhé! Biết đâu bạn sẽ trở thành 1 trong 3 người may mắn nhất nhận được set quà có 1-0-2 này thì sao :3

Ngày diễn ra trận đấu: 19/11/2023
Địa điểm: Nhà thi đấu Hồ Xuân Hương - 2 Hồ Xuân Hương, Phường 6, Quận 3, Thành phố Hồ Chí Minh

#VBA #allstarsballout #ctrlf #fabonguyen #fabo",2023-11-01 20:02:32,36,23,"{'thích': 51, 'yêu thích': 12, 'wow': 2, 'thương thương': 1}",66,51,1,12,0,0,2,0
638536935158019,"|𝐊𝐞̂́𝐭 𝐪𝐮𝐚̉| Cuộc thi Story of the year – Câu chuyện của năm

Sau hơn 1 tháng phát động, cuộc thi Story of the year đã khép lại. VBA chúc mừng bài thi của 3 tác giả Jordan2509, Bchau và Rocky đã nhận được nhiều yêu thích nhất từ NHM và đồng đoạt giải Story of the year – Câu chuyện của năm.

Trong năm đầu tổ chức, không chỉ các bài viết vào vòng 2, cuộc thi còn nhận được nhiều câu chuyện chân thành như cuộc trò chuyện vui giữa người bố 40 tuổi và cậu con 10 tuổi, bạn tình nguyện viên cùng CLB làm thiện nguyện tại làng trẻ SOS, sự quan tâm của fan với cầu thủ, cô bạn đại phẫu tim được truyền ""lửa"" từ fanclub CLB, niềm tự hào của cô giáo khi học trò hòa cùng đam mê rồi đạt thành tích khi đấu bóng rổ và nhiều câu chuyện ý nghĩa khác.

VBA rất vui khi cuộc thi đã giúp VBA, cầu thủ và các CLB có thể lắng nghe khán giả của mình tâm sự về những điều không dễ tỏ bày. Trân trọng khi giải đấu không chỉ trở thành một cách giải tỏa căng thẳng của người hâm mộ mới, là nơi kết nối giữa 2 thế hệ trong gia đình, trường học, mà còn gắn kết khán giả với địa phương mình và là nơi khởi đầu ước mơ cho thế hệ tiếp nối.

🔥Mong rằng VBA sẽ được lắng nghe nhiều tâm tư và tạo nhiều kỉ niệm tuyệt vời cùng NHM hơn ở mùa giải tiếp theo.

#VBA #VBA2023 #SOTY",2023-11-01 20:00:31,4,3,"{'thích': 47, 'yêu thích': 20}",67,47,0,20,0,0,0,0
638463055165407,"Mỗi đội một ""cực phẩm"" đây mà, ballers có đang ngóng danh sách dàn cầu thủ ""xịn sò"" tại 𝐕𝐏𝐑𝐈𝐌𝐄 𝟑𝐱𝟑 - CÚP GIAO HỮU BÓNG RỔ 3 ĐẤU 3 VPRIME không nè?

Đặt vé ngay để đến hòa mình cùng giải đấu BÓNG RỔ kết hợp sự kiện ÂM NHẠC GENfest

#VBA #GENfest",2023-11-01 16:51:32,9,6,"{'thích': 173, 'yêu thích': 33, 'haha': 2, 'wow': 12, 'thương thương': 1}",221,173,1,33,2,0,12,0
638333838511662,"Nếu 4 cầu thủ này của chúng ta thi đấu cùng một đội bóng tại 𝐕𝐏𝐑𝐈𝐌𝐄 𝟑𝐱𝟑 - CÚP GIAO HỮU BÓNG RỔ 3 ĐẤU 3 VPRIME diễn ra vào ngày 04/11 & 05/11 thì sao nhỉ?

MVP VBA 2023 - Kentrell Barkley 🤝 MVP VBA 2019 - Đinh Thanh Tâm

Đặt vé ngay để đến hòa mình cùng giải đấu BÓNG RỔ kết hợp sự kiện ÂM NHẠC GENfest.

#VBA #GENfest",2023-11-01 11:59:02,6,2,"{'thích': 133, 'yêu thích': 41, 'wow': 1, 'thương thương': 2}",177,133,2,41,0,0,1,0
637984465213266,"Fabo Nguyễn 𝐱 𝐕𝐁𝐀 chính thức mở bán vé sự kiện ALL -STAR BALL OUT - Sự kiện bóng rổ đặc biệt quy tụ 20 KOLs và các cầu thủ VBA chuyên nghiệp sẽ diễn ra vào ngày 19/11🏆🔥🏀

Trận đấu được tạo ra với mục đích thiện nguyện và Fabo sẽ quyên góp toàn bộ doanh thu của trận đấu.

✨All-Star Ball Out là trận đấu bóng rổ đầu tiên tại Việt Nam quy tụ dàn member ""siêu khủng"" là những KOLs/Creators/Rappers và cầu thủ VBA nổi tiếng nhận được nhiều sự yêu quý từ khán giả hâm mộ.

🎤Bên cạnh những trận đấu ""cháy khét lẹt"" thì BTC còn chuẩn bị những tiết mục trình diễn âm nhạc siêu hot sẽ được bật mí trong thời gian sắp tới.

🎁Mỗi hạng vé đều bao gồm những phần quà hấp dẫn mà chính tay Fabo chuẩn bị để tri ân khán giả đã dành tình yêu cho Fabo cũng như dành tình yêu cho sự kiện lần này.

🎫 3 hạng vé chính thức được mở bán trong ngày hôm nay chính là: PREMIUM, VIP, COURTSIDE. Hãy nhanh tay đặt gạch tham dự sự kiện để không bỏ lỡ khoảnh khắc có 1-0-2 này cùng với Fabo nhé 😉

Link mua vé: https://ticket.vba.vn/

Hãy cùng Fabo thử đoán xem sẽ có nhân vật nào xuất hiện tại All-Star Ball Out ở dưới phần bình luận các bạn nhé! 🤘

Hẹn gặp lại mọi người vào ngày 19/11 tại Nhà thi đấu Hồ Xuân Hương - 2 Hồ Xuân Hương, Phường 6, Quận 3, Thành phố Hồ Chí Minh ❤

See ya!! 🫶👋

#VBA #allstarsballout #ctrlf #fabonguyen #fabo",2023-10-31 19:00:13,3,10,"{'thích': 104, 'yêu thích': 16, 'wow': 2, 'thương thương': 1}",123,104,1,16,0,0,2,0
